title,score
A Champion Heart,5.5
Dive Club,4.5
La casa de papel,9.0
Money Heist: From Tokyo to Berlin,6.5
Sharkdog,5.1
Worth,5.7
Afterlife of the Party,7.2
Anjaam,5.0
Bright Star,8.7
Dhanak,8.2
Final Account,8.0
Gurgaon,6.4
Here and There,7.5
Heroes of Goo Jit Zu,7.2
Hotel Del Luna,7.6
In the Cut,4.5
Luv Kushh,6.3
Pororo - The Little Penguin,4.2
Q-Force,6.7
Shikara,5.8
A Cinderella Story,4.8
Agatha Christie's Crooked House,4.6
An Unfinished Life,7.2
Barbie Big City Big Dreams,4.9
Blade Runner: The Final Cut,9.1
Brave Animated Series,7.2
Chappie,5.9
Clear and Present Danger,7.3
Cliffhanger,4.1
Cold Mountain,9.3
Crocodile Dundee in Los Angeles,6.7
Dear John,8.3
Do the Right Thing,4.5
"El patrón, radiografía de un crimen",6.7
Extraction,6.7
Freedom Writers,9.2
Green Lantern,7.1
House Party,6.6
House Party 2,5.5
House Party 3,5.8
How to Be a Cowboy,6.9
HQ Barbers,6.4
I Got the Hook Up,4.1
In Too Deep,8.5
Initial D,8.9
Janoskians: Untold and Untrue,4.8
Kid-E-Cats,7.0
Kuroko's Basketball,4.6
Labyrinth,7.7
Letters to Juliet,5.5
Level 16,7.6
Love Don't Cost a Thing,8.0
Love in a Puff,8.2
Major Dad,4.6
Mars Attacks!,9.0
Marshall,5.3
My Boss's Daughter,4.2
Mystery Men,7.1
Oldsters,6.0
Once Upon a Time in America,8.6
Open Season 2,8.4
Osmosis Jones,5.7
Poseidon,9.2
Rhyme & Reason,5.6
Same Kind of Different as Me,6.8
School of Rock,5.4
Snervous Tyler Oakley,9.1
Tears of the Sun,4.9
The Blue Lagoon,4.2
The Golden Child,6.4
The Guns of Navarone,9.5
The Interview,8.9
The Nutty Professor,8.1
The Nutty Professor II: The Klumps,8.9
Turning Point: 9/11 and the War on Terror,8.9
Welcome Home Roscoe Jenkins,6.9
In the Line of Fire,5.7
Sparking Joy,8.2
Untold: Crime & Penalties,7.6
Hometown Cha-Cha-Cha,6.1
The Ingenuity of the Househusband,4.5
2 Alone in Paris,8.1
Bread Barbershop,5.4
Thimmarusu,9.2
Wind River,5.3
C Kkompany,4.7
D.P.,8.6
Deadly Sins,4.8
EMI: Liya Hai To Chukana Padega,5.0
He's All That,7.3
I Heart Arlo,8.8
King of Boys: The Return of the King,5.1
Koi Aap Sa,5.7
Krishna Cottage,8.3
Kucch To Hai,9.3
Kyaa Kool Hai Hum,6.8
Kyaa Kool Hain Hum 3,4.8
Kyaa Super Kool Hain Hum,4.1
Kyo Kii... Main Jhuth Nahin Bolta,5.3
"LSD: Love, Sex Aur Dhokha",4.7
Mission Istaanbul: Darr Ke Aagey Jeet Hai,7.7
Once Upon a Time in Mumbaai,4.7
Once Upon a Time in Mumbai Dobaara!,6.8
Ragini MMS,7.8
Ragini MMS 2,7.2
Rebellion,5.1
RIDE ON TIME,8.4
SAS: Rise of the Black Swan,7.9
Shootout at Lokhandwala,8.1
Shor In the City,4.7
The Dirty Picture,4.7
Titletown High,9.1
EDENS ZERO,6.2
Family Reunion,5.7
"Bob Ross: Happy Accidents, Betrayal & Greed",6.7
Clickbait,7.6
John of God: The Crimes of a Spiritual Healer,9.3
Motel Makeover,5.6
Open Your Eyes,9.1
Post Mortem: No One Dies in Skarnes,4.1
Really Love,7.1
The November Man,7.5
The Old Ways,4.6
The River Runner,4.8
The Water Man,6.3
Wheel of Fortune,9.3
Count Me In,7.3
Oggy Oggy,9.1
Untold: Caitlyn Jenner,8.4
Boomika,6.6
Boomika (Hindi),8.3
Boomika (Malayalam),4.1
Boomika (Telugu),4.6
The Witcher: Nightmare of the Wolf,8.6
Manifest,8.4
Comedy Premium League,5.3
Everything Will Be Fine,6.9
Gunshot,7.3
Korean Cold Noodle Rhapsody,8.8
Man in Love,7.3
Sweet Girl,6.3
The Chair,6.1
The Loud House Movie,6.3
A Faraway Land,7.6
Like Crazy,8.8
Black Island,6.5
Bombay,5.4
Go! Go! Cory Carson,5.3
Memories of a Murderer: The Nilsen Tapes,8.1
Nneka The Pretty Serpent,8.5
O Kadhal Kanmani,4.6
Out of my league,4.4
Pahuna,7.3
The Defeated,4.8
The Secret Diary of an Exchange Student,8.5
Untold: Deal With the Devil,5.7
Mother Goose Club,4.8
Walk of Shame,9.1
Rascal Does Not Dream of Bunny Girl Senpai,4.9
The Creative Indians,5.6
The Piano,4.8
Unroyal,4.6
Winx Club,4.1
Beckett,4.3
Brand New Cherry Flavor,5.0
Fast & Furious Spy Racers,4.3
Gone for Good,7.3
Grace and Frankie,7.7
The Kingdom,6.2
Valeria,5.7
AlRawabi School for Girls,6.8
Lokillo: Nothing's the Same,8.8
Monster Hunter: Legends of the Guild,8.7
Bake Squad,4.2
Brother Jekwu,5.0
La diosa del asfalto,5.3
Misha and the Wolves,5.4
The Kissing Booth 3,7.1
The Railway Man,6.3
Gabby's Dollhouse,4.3
I Need Romance,6.1
Las muñecas de la mafia,6.9
The Crowned Clown,4.6
Untold: Malice at the Palace,8.6
SHAMAN KING,4.3
Quartet,9.1
Slay,4.5
Takizawa Kabuki ZERO 2020 The Movie,8.6
The Paper Tigers,9.0
Hit & Run,9.4
Navarasa,8.4
Quam's Money,8.3
The Swarm,7.5
Vivo,8.3
Chennai Express,4.7
City of God: 10 Years Later,6.9
Esperando la carroza,6.8
Lady Boss: The Jackie Collins Story,8.7
Tango Feroz,6.5
'76,6.1
Aftermath,7.5
American Masters: Inventing David Geffen,5.5
Car Masters: Rust to Riches,4.8
Cocaine Cowboys: The Kings of Miami,6.6
Control Z,6.3
Cooking With Paris,5.3
Autumn's Concerto,6.0
Heavy,6.0
Ije: The Journey,5.8
Office Girls,6.1
Pray Away,7.8
Shiny_Flakes: The Teenage Drug Lord,5.6
The Prince Who Turns into a Frog,9.2
Top Secret UFO Projects: Declassified,9.0
Two Fathers,6.6
You're My Destiny,5.8
30 Rock,6.9
44 Cats,8.7
Beethoven,7.6
Beethoven's 2nd,8.4
Beowulf,6.9
Boyka: Undisputed,7.5
Catch Me If You Can,5.6
Cloudy with a Chance of Meatballs,8.0
Darwin’s Game,5.1
Deep Blue Sea,7.8
Ferris Bueller's Day Off,8.7
Five Feet Apart,4.7
Freedomland,7.4
Friday Night Lights,4.5
Good Luck Chuck,8.0
Hunter X Hunter (2011),4.5
I missed you: Director's Cut,9.1
Inception,4.8
Magnolia,9.3
Major Payne,8.4
My Girl,7.3
My Girl 2,8.3
Open Season: Scared Silly,8.4
Pineapple Express,9.2
Planet 51,5.4
Poms,7.2
Seabiscuit,4.5
Space Cowboys,7.4
Team America: World Police,4.9
The Edge of Seventeen,7.1
The Haunting in Connecticut 2: Ghosts of Georgia,7.1
The Last Boy Scout,6.6
The Lincoln Lawyer,6.9
The Losers,8.2
The Machinist,8.4
The Net,6.7
The Original Kings of Comedy,7.3
Valentine's Day,9.1
Charmed,4.7
The Lost Café,4.6
The Vault,4.5
Centaurworld,7.6
Eyes of a Thief,6.3
Glow Up,8.3
I'm Glad I Did,7.7
Khawatir,5.8
Myth & Mogul: John DeLorean,8.9
Outer Banks,8.2
Pomegranates and Myrrh,5.5
Rurouni Kenshin: The Beginning,6.0
The Last Mercenary,5.7
Flower Girl,4.9
Resort to Love,4.8
Transformers: War for Cybertron: Kingdom,9.1
Bartkowiak,6.4
Fantastic Fungi,6.1
Tattoo Redo,8.0
The Flash,7.0
The Snitch Cartel: Origins,9.1
All American,8.3
Department,6.6
Hostage House,6.1
How to Sell Drugs Online (Fast),9.4
Mighty Express,7.9
Mimi,9.2
Plastic Cup Boyz: Laughing My Mask Off!,4.7
The Operative,8.7
The Walking Dead,7.5
Wynonna Earp,4.7
Django Unchained,7.2
A Second Chance:  Rivals!,7.8
African America,4.1
Bankrolled,6.5
Blood Red Sky,8.5
Feels Like Ishq,5.6
Kingdom: Ashin of the North,6.5
Masters of the Universe: Revelation,6.4
Revelations: The Masters of the Universe: Revelation Aftershow,5.7
Sky Rojo,9.1
The Last Letter From Your Lover,8.3
The Movies That Made Us,4.6
9to5: The Story of a Movement,9.5
Chhota Bheem - Dinosaur World,8.8
Chhota Bheem - Neeli Pahaadi,5.6
Chhota Bheem & Ganesh,8.6
Chhota Bheem & Krishna: Mayanagari,4.6
Chhota Bheem & Krishna: Pataliputra- City of the Dead,9.5
Chhota Bheem And The Broken Amulet,7.7
Chhota Bheem And The Crown of Valhalla,7.6
Chhota Bheem and the Incan Adventure,4.5
Chhota Bheem and The ShiNobi Secret,8.9
Chhota Bheem Aur Hanuman,4.2
Chhota Bheem aur Krishna,5.3
Chhota Bheem aur Krishna vs Zimbara,4.8
Chhota Bheem in African Safari,8.3
Chhota Bheem Ka Roosi Romanch,5.1
Chhota Bheem: Bheem vs Aliens,9.0
Chhota Bheem: Dholakpur to Kathmandu,7.6
Chhota Bheem: Dus Pe Dus,4.2
Chhota Bheem: Journey to Petra,4.0
Chhota Bheem: Master of Shaolin,4.3
Chhota Bheem: The Rise of Kirmada,7.3
Chicago Med,8.4
Cousins,5.3
Wannabe Courageous,8.7
Words Bubble Up Like Soda Pop,4.3
Sanitation Day,8.4
Sexy Beasts,9.1
Too Hot to Handle: Brazil,8.2
Trollhunters: Rise of the Titans,7.8
Milkwater,8.6
Okupas,4.2
Touch Your Heart,5.1
The Tambour of Retribution,4.7
Cosmic Sin,6.8
2 Weeks in Lagos,8.1
Deep,7.5
Explained,8.7
Fear Street Part 3: 1666,4.9
Johnny Test,8.0
La ley de Herodes,5.1
Naomi Osaka,5.5
The Beguiled,7.9
The Book of Henry,9.4
The Twilight Saga: Breaking Dawn: Part 1,7.4
The Twilight Saga: Breaking Dawn: Part 2,4.3
The Twilight Saga: Eclipse,7.4
The Twilight Saga: New Moon,4.2
Twilight,8.9
A Perfect Fit,7.9
BEASTARS,5.0
Cheech & Chong's Still Smokin,4.5
Emicida: AmarElo - Live in São Paulo,5.0
Her Private Life,9.4
Lift Like a Girl,6.5
My Amanda,8.3
Never Have I Ever,7.5
Surf's Up,7.1
The Unknown Saint,4.8
This Changes Everything,9.2
A Classic Horror Story,5.7
Gunpowder Milkshake,7.2
Heist,7.8
My Unorthodox Life,7.6
Private Network: Who Killed Manuel Buendía?,9.2
The Guide to the Perfect Family,4.8
American Woman,6.8
Bridgerton - The Afterparty,6.2
Day of Destiny,6.6
Ridley Jones,4.7
Born to Play,4.7
American Ultra,5.5
The Stand-Up,5.7
The Tour,6.4
Atypical,7.4
Biohackers,7.5
Fear Street Part 2: 1978,6.3
Finding Hubby,6.2
How I Became a Superhero,5.2
How to Become a Tyrant,7.2
Last Summer,5.7
Lee Su-geun: The Sense Coach,4.2
Lethal Love,6.3
Ratchet and Clank,6.6
The Cook of Castamar,5.2
Virgin River,7.1
Back to Q82,7.1
Elize Matsunaga: Once Upon a Crime,7.9
Home Again,7.6
Midnight Sun,7.6
RESIDENT EVIL: Infinite Darkness,5.7
Rock the Kasbah,8.3
Awon Boyz,7.0
Brick Mansions,6.4
Cat People,7.4
Clash,6.0
Dogs,6.8
Major Grom: Plague Doctor,8.1
Mama Drama,8.9
Tango With Me,9.1
The Mire,6.8
The War Next-door,6.9
Therapy,8.4
This Little Love Of Mine,5.7
Three Thieves,8.6
A Land Imagined,6.7
Ask the StoryBots,4.6
Between,4.4
Chelsea,8.6
Code Lyoko,4.3
Colony,5.5
Cuckoo,5.8
Derry Girls,5.0
Girl from Nowhere,5.7
Good Morning Call,8.1
Har Kisse Ke Hisse: Kaamyaab,4.1
I AM A KILLER,8.5
I Think You Should Leave with Tim Robinson,8.7
Kim's Convenience,6.0
Larva,4.8
Marcella,7.3
Midnight Diner: Tokyo Stories,4.7
My Little Pony: Friendship Is Magic,6.0
Orange Is the New Black,9.3
Puffin Rock,9.5
Rehmataan,8.2
Return of the Prodigal Son,5.7
Richie Rich,7.8
Rise: Ini Kalilah,7.9
Scream,6.1
Shtisel,7.5
Si Doel the Movie 2,4.1
Some Assembly Required,5.1
Tales by Light,6.9
Terrace House: Opening New Doors,4.9
The A List,4.9
The New Legends of Monkey,8.6
The Worst Witch,9.4
Truckbhar Swapna,7.1
Ujala,8.6
Undercover,9.4
Workin' Moms,4.8
YooHoo to the Rescue,6.5
You Are My Spring,6.2
We the People,4.4
Grey's Anatomy,8.2
Big Timber,6.4
Fear Street Part 1: 1994,6.6
Haseen Dillruba,4.8
Holiday on Mars,5.0
Mortel,9.0
RattleSnake - The Ahanna Story,4.2
Snowpiercer,5.3
The 8th Night,5.6
Winchester,6.7
6 Bullets,7.2
Air Force One,6.7
Audible,4.5
Austin Powers in Goldmember,5.3
Austin Powers: International Man of Mystery,8.6
Austin Powers: The Spy Who Shagged Me,7.5
Boogie Nights,7.6
Bureau of Magical Things,7.7
Charlie's Angels,8.2
Congo,4.3
Dennis the Menace,6.0
Dreamy Eyes,7.0
Dynasty Warriors,5.9
Generation 56k,8.6
Hampstead,6.7
Kung Fu Panda,8.2
Kung Fu Panda 2,8.7
Life as We Know It,6.8
Mary Magdalene,9.0
Masameer County,7.2
Memoirs of a Geisha,8.7
Midnight Run,5.9
Mobile Suit Gundam Hathaway,6.7
Mortal Kombat,6.9
Mother's Day,4.6
No Strings Attached,6.2
Not Another Teen Movie,9.0
Ophelia,7.5
Pet Sematary 2,5.0
Quarantine Tales,5.9
Rainbow Rangers,5.1
Red Joan,4.1
Sailor Moon Crystal,9.1
Seven Pounds,6.5
She's Out of My League,5.7
Snow Day,7.3
Star Trek,4.0
Stuart Little,5.5
Sword of Trust,7.9
Talladega Nights: The Ballad of Ricky Bobby,7.5
The American,9.4
The Best of Enemies,7.4
The Game,6.6
The Karate Kid,8.2
The Karate Kid Part II,9.0
The Karate Kid Part III,8.0
The Life of David Gale,9.3
The Long Riders,8.3
The Queen,8.8
The Strangers,4.6
The Sum of All Fears,8.0
The Tourist,6.4
Underworld,7.0
Underworld: Awakening,7.6
Underworld: Rise of the Lycans,9.3
Voiceless,9.4
What Dreams May Come,5.6
Why Do Fools Fall in Love,8.0
Working Title,8.1
Young Royals,5.9
America: The Motion Picture,4.7
Deranged,4.2
Droppin' Cash: Los Angeles,8.3
Legend of Exorcism,6.7
Lying and Stealing,9.4
Mommy Issues,6.6
Prime Time,9.4
Somos.,6.3
Sophie: A Murder in West Cork,8.4
The Daily Life of the Immortal King,4.5
StarBeam,7.1
A Way Back Home,8.4
Killing Them Softly,9.1
The Seven Deadly Sins,8.5
Wanted,4.2
Into the Wind,6.0
Wonder Boy,4.3
Here Comes the Rain,4.6
The Ice Road,7.7
Ray,7.9
Sex/Life,8.3
Godzilla Singular Point,8.8
Jiva!,8.1
Sisters on Track,8.4
The Naked Director,4.3
The Seventh Day,5.3
Good on Paper,7.4
Murder by the Coast,8.7
The House of Flowers: The Movie,4.0
The Parisian Agency: Exclusive Properties,6.8
Too Hot to Handle,7.7
Broken,4.2
O Vendedor de Sonhos,6.2
Osuofia in London,8.9
Osuofia in London II,7.7
This Is Pop,5.3
#Selfie,8.7
#Selfie 69,5.9
Love Is a Story,8.7
The Mole,5.6
"Nevertheless,",7.2
Bangkok Love Stories: Innocence,6.2
Black Lightning,5.5
Call My Agent!,8.9
Champions,5.0
Charité at War,4.5
Cleo & Cuquin,5.9
Deadwind,7.9
Gameboys Level-Up Edition,8.4
Glee,9.5
Hap and Leonard,5.6
Locked Up,6.2
Mobile Suit Gundam II: Soldiers of Sorrow,4.8
Mobile Suit Gundam III: Encounters in Space,7.2
Mobile Suit Gundam: Char's Counterattack,9.5
No Time for Shame,7.9
Pose,7.3
REA(L)OVE,6.2
Riverdale,9.0
Schitt's Creek,6.7
The Assassination of Gianni Versace,4.7
The Judgement,6.0
The Last Dance,4.4
They've Gotta Have Us,5.1
Why Are You Like This,4.1
A Family,6.5
Elite,7.5
Fatherhood,5.9
Hospital Playlist,6.3
Jagame Thandhiram,9.3
Kambili: The Whole 30 Yards,8.1
Mobile Suit Gundam I,7.0
Rurouni Kenshin: The Final,5.6
So Not Worth It,8.9
The Rational Life,5.3
Ali & Ratu Ratu Queens,5.8
Aziza,9.0
Besieged Bread,6.9
Black Summer,8.1
Elite Short Stories: Carla Samuel,7.2
Fan Girl,7.6
Katla,5.6
Record of Ragnarok,5.3
Red Snow,5.8
Silver Linings Playbook,4.9
The Gift,8.8
A Man For The Week End,5.6
Biking Borders,7.1
Elite Short Stories: Omar Ander Alexis,8.4
Let's Eat,8.3
Lowriders,6.4
Millennials,6.6
Penguin Town,9.5
Security,7.7
Silver Skates,8.5
Avengers Climate Conundrum,9.0
Beyond Evil,8.3
Elite Short Stories: Nadia Guzmán,5.0
FTA,7.1
Headspace: Unwind Your Mind,4.6
Life of Crime,7.6
Power Rangers Dino Fury,9.3
Rhyme Time Town,6.8
Rogue Warfare: Death of a Nation,6.4
Sir! No Sir!,4.2
The American Bible Challenge,9.3
The Reason I Jump,4.6
Elite Short Stories: Guzmán Caye Rebe,4.2
Metallica: Some Kind of Monster,5.4
Picture a Scientist,4.4
The Devil Below,6.5
Bling Empire - The Afterparty,6.8
Cobra Kai - The Afterparty,5.7
Love (ft. Marriage and Divorce),4.3
To All the Boys: Always and Forever - The Afterparty,4.6
LEGO Friends: The Power of Friendship,6.1
Lupin,4.3
Sarbath,7.8
Skater Girl,5.1
Trese,5.7
Trese After Dark,6.2
Wish Dragon,6.3
A Haunted House 2,4.0
Blind Intersections,4.6
Camellia Sisters,8.7
Copenhagen,4.0
Locombianos,6.8
Until Midnight,6.7
Awake,5.8
Confusion Na Wa,6.4
"Fresh, Fried & Crispy",8.3
L.A.’s Finest,8.6
Tragic Jungle,5.4
Guru Aur Bhole,5.8
Vampire Academy,5.3
"Newly Rich, Newly Poor",6.6
A Private War,7.8
Kitty Love: An Homage to Cats,5.3
Small Chops,5.8
Breaking Boundaries: The Science Of Our Planet,9.1
Feel Good,4.3
Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,6.5
Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,7.9
Human: The World Within,4.8
Sweet & Sour,4.3
Sweet Tooth,4.8
Trippin' with the Kandasamys,9.1
Xtreme,4.1
Alan Saldaña: Locked Up,5.0
Creator's File: GOLD,4.2
Dancing Queens,4.6
From Stress to Happiness,7.4
Myriam Fares: The Journey,5.3
Pretty Guardian Sailor Moon Eternal The Movie,7.1
Summertime,7.2
The Girl and the Gun,8.7
2 Hearts,4.0
A Perfect Ending,8.7
American Outlaws,7.4
And Then Came Lola,4.9
Attack on Titan,8.3
Battlefield Earth,8.7
Ben & Holly's Little Kingdom,5.4
Black Holes | The Edge of All We Know,9.1
Bliss,6.5
Carnaval,7.3
Cloudburst,9.4
Cocomelon,6.0
Company of Heroes,8.5
Cradle 2 the Grave,5.8
Domestic Disturbance,8.4
Downton Abbey,7.3
Dream/Killer,5.2
Felon,6.3
Flipped,5.7
Fools Rush In,4.4
Gold Statue,4.2
Happy Endings,5.9
Hostel: Part III,4.1
I Am Sam,4.9
Love Jones,8.0
Million Dollar Baby,7.9
Mosquita y Mari,8.1
Never Back Down 2: The Beatdown,5.7
Ninja Assassin,8.9
Ouran High School Host Club,7.3
Population 436,4.7
Racket Boys,4.8
Seven Souls in the Skull Castle: Season Moon Jogen,7.8
Seven Souls in the Skull Castle: Season Moon Kagen,5.0
Sniper: Legacy,6.8
Starsky & Hutch,9.5
Streets of Fire,4.0
Super Monsters: Once Upon a Rhyme,4.1
Swordfish,9.5
The Adventures of Sonic the Hedgehog,7.2
The Four Seasons,4.7
The Girl King,8.9
The Interpreter,8.8
The Meddler,6.9
The Mirror Has Two Faces,7.4
The Outlaw Josey Wales,5.5
The Platform,4.3
The Wedding Guest,7.3
The Wind,5.6
Then Came You,7.6
Welcome Home,8.6
Dirty John,4.1
Bo Burnham: Inside,7.3
One Lagos Night,5.3
Collateral Beauty,8.8
Dog Gone Trouble,5.4
The Kominsky Method,7.4
The Least Expected Day: Inside the Movistar Team 2019,7.0
Word of Honor,6.2
Black Space,7.7
Blue Miracle,8.0
Eden,7.1
Ghost Lab,8.2
Ragnarok,9.4
Soy Rada: Serendipity,6.3
The Day I lost My Shadow,6.8
Baggio: The Divine Ponytail,4.1
Gatao - The Last Stray,8.4
High on the Hog: How African American Cuisine Transformed America,6.9
JoJo's Bizarre Adventure,6.2
Nail Bomber: Manhunt,4.5
A Place in the Stars,8.9
Home,6.2
Mad for Each Other,7.8
Master of None,4.8
Sam Smith: Love Goes - Live at Abbey Road Studios,9.3
99 Songs,5.0
99 Songs (Tamil),5.1
99 Songs (Telugu),8.7
Army of the Dead,9.0
Creating an Army of the Dead,5.2
Jurassic World Camp Cretaceous,6.6
Strain,8.0
The Neighbor,8.8
678,6.1
Asmaa,6.8
Hating Peter Tatchell,8.1
Little Singham Future mein Satakli,8.0
Special,8.3
Spy Kids: All the Time in the World,7.1
Taxi No. 9211,4.6
Sabotage,9.0
Small Town Crime,8.8
The Last Days,8.4
The Magic School Bus,4.5
Who Killed Sara?,5.1
Amy Tan: Unintended Memoir,8.1
Sardar Ka Grandson,4.1
Sleight,9.4
Ahaan,6.1
Booba: Food Puzzle,8.0
Love or Money,8.9
Alma Matters,6.2
Cinema Bandi,5.8
Ferry,7.3
Halston,7.2
Haunted,6.3
I Am All Girls,7.3
Jungle Beat: The Movie,9.1
"Love, Death & Robots",6.6
Move to Heaven,5.1
Table Manners,6.1
The Mystic River,6.2
The Strange House,4.7
The Upshaws - The Afterparty,4.9
The Woman in the Window,7.8
Castlevania,5.9
Layer Cake,9.3
Tottaa Pataaka Item Maal,5.3
Wave of Cinema: Filosofi Kopi,4.5
Dance of the Forty One,8.1
Oxygen,8.8
The Upshaws,5.5
Use For My Talent,5.1
Dear Affy,5.0
Illegal Woman,6.9
"Money, Explained",6.6
Deadly Switch,5.4
Mine,4.2
Nayattu,6.6
Sleepless,9.3
Super Me,7.6
Have You Ever Seen Fireflies? - Theatre Play,6.7
In Our Mothers' Gardens,4.6
Jupiter's Legacy,5.4
Milestone,5.6
Monster,8.2
Sab Jholmaal Hai,8.8
The Circle - The Afterparty,9.0
Time to Dance,9.4
Unrest,9.4
And Tomorrow the Entire World,9.2
Dead Man Down,4.4
Framing John DeLorean,4.8
Lava Ka Dhaava,5.7
The Sons of Sam: A Descent into Darkness,7.0
Selena: The Series,4.5
StartUp,8.7
The Clovehitch Killer,7.4
Trash Truck,7.0
Aliens Stole My Body,4.9
Angelina Ballerina,5.4
Au coeur des gangs,4.9
Barney and Friends,8.7
Best of the Best,7.2
Dead Again in Tombstone,8.0
Due Date,5.6
Fun with Dick & Jane,6.0
Green Zone,6.2
Hachi: A Dog's Tale,8.2
JT LeRoy,8.2
Madagascar 3: Europe's Most Wanted,5.1
Miniforce: Super Dino Power,9.2
Motu Patlu in Dragon's World,4.7
Motu Patlu in the Game of Zones,8.9
Motu Patlu in Wonderland,4.6
Motu Patlu: Deep Sea Adventure,5.5
Motu Patlu: Mission Moon,8.7
Mystic River,5.0
Never Back Down,6.3
S.M.A.R.T Chase,6.5
Sitting in Limbo,5.3
Stargate,7.9
State of Play,8.7
Swiped,8.8
The Darkest Hour,5.9
The Lovely Bones,6.9
The Sweetest Thing,5.4
The Whole Nine Yards,5.3
The Whole Truth,4.9
The Yeti Adventures,9.2
Under Siege,8.9
Zack and Miri Make a Porno,8.3
Pet Stars,6.8
Seven,6.7
The Disciple,6.9
The Innocent,7.0
The Mitchells vs. The Machines,6.4
The Strangers: Prey at Night,4.7
The Unremarkable Juanquini,4.7
Things Heard & Seen,9.2
Yasuke,6.7
Get the Grift,9.2
Headspace Guide to Sleep,4.9
Sexify,7.0
August: Osage County,5.1
Battle: Los Angeles,5.4
Between Worlds,4.2
Fatma,4.7
One,9.0
Ram Prasad Ki Tehrvi,5.8
Shadow and Bone - The Afterparty,7.3
Among Family,6.6
Dedemin Fisi,6.2
Deliha,6.9
Düğün Dernek,5.0
Dügün Dernek 2: Sünnet,9.4
G.O.R.A,8.5
Hayat Öpücügü,8.1
Heroes: Silence and Rock & Roll,6.6
Kara Bela,4.8
Kocan Kadar Konus,9.1
Kocan Kadar Konus 2: Dirilis,5.9
Legal Hash,4.3
Let's Fight Ghost,5.9
My Travel Buddy,8.4
Niyazi Gül Dörtnala,7.4
One Like It,8.1
Perfume Imaginary Museum “Time Warp”,8.4
